x,y,w,h
342,289,1071,120
364,414,1034,125
369,537,711,96
356,708,654,75
430,789,891,92
1022,918,425,68
376,1006,422,79
1300,1015,142,60
370,1114,476,79
1296,1115,151,75
344,1203,657,86
1289,1212,161,67
354,1316,754,86
1293,1309,154,68
393,1416,592,80
1292,1416,159,67
384,1529,390,77
357,1626,410,78
1288,1624,162,74
372,1811,295,80
667,1795,476,82
1286,1801,157,69
356,1901,136,82
671,1907,562,81
1214,1909,218,68
368,2015,605,91
1282,2013,155,67
436,2122,398,72
379,2222,973,89
356,2286,1007,82
343,2370,1053,88
316,2493,1138,95
339,2547,1123,154
