x,y,w,h
5,72,491,80
1236,92,106,61
1507,97,117,62
19,165,386,67
1217,157,168,73
1487,177,187,63
11,251,558,81
37,353,378,69
1218,366,141,60
1495,369,184,65
33,432,459,73
1220,453,143,56
1503,446,120,64
40,502,164,67
1200,530,176,64
1482,530,222,74
22,597,707,72
1192,620,169,60
1481,618,169,64
54,679,515,69
1177,687,224,59
1468,687,208,67
62,752,553,76
1192,770,177,60
1476,776,181,62
52,826,245,64
1193,855,170,57
1476,861,177,63
35,911,316,69
1187,929,180,63
1481,928,195,68
57,982,171,68
1178,999,213,65
1465,1002,195,68
118,1059,650,75
1236,1084,418,69
81,1179,1117,71
81,1278,1389,79
85,1343,1315,72
134,1386,1178,61
