x,y,w,h
261,46,288,39
123,100,298,35
111,138,228,30
100,187,215,35
505,200,156,31
115,224,120,30
351,223,115,32
534,233,84,29
561,286,72,29
108,323,138,30
366,329,66,31
566,326,61,27
123,358,126,29
365,358,84,30
574,359,51,26
118,391,173,31
370,394,64,30
573,389,53,27
107,422,93,30
375,429,58,31
572,421,54,30
100,457,187,31
377,460,53,31
580,456,43,27
126,489,137,30
374,494,59,30
154,527,99,28
378,529,53,30
132,558,120,31
379,559,50,32
101,588,186,36
357,597,97,31
585,586,35,27
119,638,463,40
109,669,522,42
